Topic_ID,Topic_Name,Highest_Prob,FREX,Lift,Score
1,Green Finance,"market, bank, financial, yuan, investment, billion, bond, hong, year, company, fund, kong","bond, hong, kong, esg, bank, mainland, renminbi, index, yuan, asset, financial, banking","ipo, bourse, chinext, etf, renminbidenominated, renminbis, ashare, exchangetraded, northbound, renminbi, esg, guangdonghong","hong, yuan, kong, bond, renminbi, bank, esg, ashare, financial, etf, investor, market"
2,Expos & Tech Events,"china, carbon, province, city, year, xinhua, beijing, green, service, neutrality, center, technology","exhibition, liang, web, venue, olympic, jun, tianjin, ciie, intelligent, xinhua, computing, olympics","zhangbei, chaoyang, chu, crrc, daxing, fiber, guizhous, icemaking, megacities, meituan, metaverse, minhang","xinhua, ciie, china, province, beijing, yuan, exhibition, zhang, carbon, ciftis, liang, expo"
3,Coal & Emissions Policy,"emission, climate, carbon, coal, government, fuel, fossil, gas, cut, policy, world, energy","mine, offset, methane, heating, credit, found, scheme, coal, cut, tonne, mining, polluting","aemos, bahati, brine, geoengineering, lomborg, bjorn, decentralised, worthless, scarborough, cumbria, tailpipe, bleaching","emission, coal, climate, fossil, less, carbon, fuel, heating, methane, gas, car, mine"
4,Green Deal Politics,"european, europe, france, commission, union, green, french, macron, president, deal, member, climate","hungary, macron, der, european, von, leyen, spain, france, french, timmermans, europe, poland","bulgaria, der, frans, gozo, leyen, schengen, timmermans, budapest, czech, hungary, mep, meps","european, macron, europe, leyen, chinaeu, der, france, von, brussels, hungary, timmermans, french"
5,Global Macroeconomy,"economic, economy, growth, year, policy, global, world, pandemic, percent, rate, recovery, covid","monetary, structural, gdp, imf, fiscal, inflation, economist, rate, stimulus, growth, outlook, recession","consumptiondriven, nomura, scarring, georgieva, accommodative, imf, kristalina, bretton, stagflation, blockage, beirne, berger","growth, imf, monetary, inflation, percent, economic, rate, pandemic, economy, fiscal, gdp, recovery"
6,Renewables & Hydrogen,"energy, power, china, solar, wind, renewable, capacity, project, year, percent, electricity, clean","installed, hydropower, wind, grid, storage, ccus, solar, capacity, hydrogen, kilowatt, sinopec, gigawatts","hanyang, ultrahigh, aysha, bloombergnef, bloombergnefs, chunmei, cnoocs, coalbed, dapeng, daqing, driller, enn","energy, china, solar, hydrogen, sinopec, percent, wind, renewable, power, electricity, photovoltaic, grid"
7,Biodiversity & Water,"biodiversity, water, forest, conservation, area, resource, land, environmental, protection, river, nature, ecosystem","specie, biodiversity, forest, forestry, grassland, wetland, wildlife, habitat, tree, conservation, animal, ecosystem","hydrological, greenovation, lancet, pest, precipitation, tributary, qinghaitibet, biodiverse, climatic, sahara, lancang, ecotourism","biodiversity, forest, conservation, specie, river, water, grassland, ecosystem, ecological, tree, forestry, habitat"
8,China–Africa Cooperation,"china, africa, african, south, country, development, chinese, world, continent, western, kenya, people","african, africa, kenya, commentchinadailycomcn, opinionchinadailycomcn, chinaafrica, ethiopia, writing, expertise, zambia, continent, send","moussa, ethiopia, sinoafrican, symbolizes, dakar, addis, johannesburg, namibia, kenyan, focac, greatpower, solheim","africa, african, china, chinaafrica, kenya, commentchinadailycomcn, opinionchinadailycomcn, modernization, continent, juncao, ethiopia, chinese"
9,German Politics,"germany, party, government, german, green, election, chancellor, vote, minister, country, policy, year","merkel, berlin, chancellor, scholz, colombia, angela, bosch, germany, german, olaf, cuba, nord","baerbock, bogota, bundestag, merkels, afd, annalena, cdu, deutschland, fdp, gustavo, habeck, merkel","germany, merkel, chancellor, scholz, election, german, party, vote, berlin, spd, voter, bosch"
10,CPC Governance,"china, development, chinese, people, party, national, year, system, country, central, effort, committee","cpc, civilization, communist, harmony, principle, philosophy, characteristic, socialism, upholding, ecoenvironmental, rejuvenation, mankind","huning, plenum, zedong, lawbased, rejuvenation, amity, chatterjee, cpcs, crested, crossstrait, dialectical, distinctively","china, cpc, modernization, chinese, ecoenvironmental, party, development, civilization, socialism, ecoenvironment, rejuvenation, socialist"
11,Activism & Media Boilerplate,"people, climate, view, right, fullscreen, time, photograph, like, crisis, court, government, many","court, fullscreen, photograph, police, read, child, lawsuit, supreme, image, attack, tory, indigenous","curated, harry, inbox, muslim, newsletterstheguardiancom, prison, sensation, sentenced, sex, violence, abortion, advertiser","fullscreen, photograph, court, activist, tory, less, abortion, climate, lawsuit, adani, democracy, protest"
12,Low-Carbon Policy,"carbon, china, green, emission, development, neutrality, energy, lowcarbon, industry, goal, system, effort","lowcarbon, carbon, peaking, intensity, peak, guideline, consumption, fiveyear, neutrality, dioxide, ecology, enterprise","assetbacked, jointstock, pbc, pboc, shangxi, weimin, relending, kebin, pbocs, carbontrading, highemission, jishengfor","china, emission, carbon, lowcarbon, green, dioxide, pboc, development, neutrality, consumption, industry, percent"
13,Multilateralism,"global, world, international, country, cooperation, development, economic, covid, president, economy, community, pandemic","vaccine, multilateralism, brics, apec, asiapacific, peace, openness, unilateralism, open, globalization, virus, equitable","putrajaya, stigmatization, cptpp, apec, apecs, chinafao, immunization, nondiscriminatory, relapse, zongze, covax, penh","cooperation, multilateralism, apec, vaccine, brics, global, peace, globalization, unilateralism, wang, multilateral, governance"
14,BRI Middle East Ties,"cooperation, country, development, two, economic, energy, initiative, project, partnership, road, trade, partner","saudi, arab, bri, arabia, partnership, uae, belt, cooperation, collaboration, bilateral, sco, initiative","arabia, aramcos, chinagcc, dhafra, fahad, gcc, mohammed, saud, uae, uaes, alajlan, arab","cooperation, bri, saudi, arab, arabia, bilateral, uae, sco, partnership, chinaarab, belt, relation"
15,EVs & Batteries,"china, global, market, chinese, company, technology, trade, vehicle, industry, investment, business, energy","indonesia, battery, manufacturer, vehicle, nev, chain, auto, automotive, manufacturing, automobile, cell, carmaker","baic, brazilchina, caam, ccpit, intraregional, mncs, bmw, antidumping, dongshu, exportbound, gac, gotion","china, battery, chinese, company, vehicle, openingup, percent, market, electric, global, trade, industry"
16,US Politics & China–US,"china, trump, biden, state, administration, united, policy, president, american, two, joe, order","biden, trump, bidens, kerry, joe, chinaus, republican, taiwan, washington, california, donald, manchin","pelosis, anchorage, bidenharris, kerrys, manchins, obamas, pew, rejoining, allison, blinken, breakingviews, manchin","trump, biden, taiwan, kerry, republican, bidens, china, joe, chinaus, democrat, washington, manchin"
17,Australian Politics,"australia, government, minister, australian, climate, morrison, labor, policy, target, national, zero, net","morrison, albanese, dutton, joyce, australian, queensland, australia, nsw, liberal, scott, canberra, bowen","brisbane, abbott, albaneses, backbench, berejiklian, bollock, canavan, collinsville, dutton, fitzgibbons, frontbench, frydenberg","morrison, australia, australian, albanese, liberal, queensland, nsw, election, dutton, joyce, scott, voter"
18,Nuclear & Steel,"nuclear, steel, plant, power, japan, russia, reactor, unit, russian, safety, iron, technology","reactor, nuclear, steel, putin, furnace, iron, japanese, russian, japan, fukushima, tokyo, vladimir","abe, chernobyl, cisa, huludao, lange, novice, shinzo, tianwan, xudapu, dalusung, reactor, suga","nuclear, steel, reactor, russian, russia, putin, plant, tianwan, unit, furnace, japan, fukushima"
19,COP & Paris Talks,"climate, change, country, global, world, action, china, emission, nation, cop, developing, paris","cop, paris, adaptation, guterres, action, glasgow, climate, change, xie, tackling, developing, mitigation","quantified, unfccc, belem, damilola, ndcs, nonco, stiell, redentor, climatevulnerable, mottley, dimitri, chunying","climate, cop, paris, emission, glasgow, china, action, change, global, adaptation, developing, guterres"
20,Oil & Gas Transition,"energy, gas, oil, company, fuel, fossil, price, transition, industry, investment, business, government","oil, shell, barrel, lng, shareholder, gas, profit, bps, drilling, fossil, pipeline, customer","bps, businessdesk, agm, baal, brent, cambo, equinor, ftse, looney, ofgem, windfall, barclays","oil, gas, company, fossil, shell, fuel, energy, lng, bps, shareholder, barrel, price"
